name,price,image,description,category,subcategory,stat1_label,stat1_value,stat2_label,stat2_value,stat3_label,stat3_value,isFeatured,isNewProduct
"Lab Work Tables with Gas & Sink Units",36000,"https://schoolmart.store/pub/media/catalog/product/cache/b1bef2623140fcc03ef48250e03d7955/u/n/untitled_design_6__1_7.png","For chemical experiments 8'×3'6""×30"" Composite panel, sink & gas burner points","Composite Skill Labs","Chemistry","Material","Composite Panel","Type","Workstation","Availability","In Stock",true,true
"Premium Laboratory Stool",2800,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Ergonomic lab stool with adjustable height and durable finish.","Composite Skill Labs","Chemistry","Material","Metal/Plastic","Type","Seating","Availability","In Stock",false,false
"Metal Laboratory Stool",3000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Industrial grade metal stool for chemical labs.","Composite Skill Labs","Chemistry","Material","Metal","Type","Stool","Availability","In Stock",false,false
"Adjustable Laboratory Stool",2500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Height adjustable ergonomic stool for chemistry students.","Composite Skill Labs","Chemistry","Material","Standard","Type","Adjustable","Availability","In Stock",false,false
"Heavy-Duty Laboratory Table",7500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Heavy-duty table for science and chemistry labs.","Composite Skill Labs","Chemistry","Material","Wood/Steel","Type","Work Table","Availability","In Stock",true,false
"Laboratory Acid and Corrosive Storage Cabinet",13200,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Safe storage for corrosive materials and chemicals.","Composite Skill Labs","Chemistry","Material","Acid Resistant","Type","Cabinet","Availability","In Stock",false,true
"Laboratory Standing Storage Cabinet",14500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Full height standing storage solution for glassware.","Composite Skill Labs","Chemistry","Material","Metal","Type","Standing","Availability","In Stock",false,false
"Laboratory Wall Cases with Shelves",12500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Wall mounted storage units for chemistry labs.","Composite Skill Labs","Chemistry","Material","Glass/Metal","Type","Wall Case","Availability","In Stock",false,false
"Laboratory base cabinets",1200,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Under-counter base cabinets for modular labs.","Composite Skill Labs","Chemistry","Material","Standard","Type","Base Unit","Availability","In Stock",false,false
"Laboratory Utility Table",1400,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","General purpose utility table for chemical experiments.","Composite Skill Labs","Chemistry","Material","Laminate","Type","Utility","Availability","In Stock",false,false
"C-SHAPE STOOL",3500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Modern C-shape ergonomic design for tech labs.","Composite Skill Labs","Chemistry","Material","Premium","Type","Specialty","Availability","In Stock",false,false
"chemistry lab workstation",7500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Integrated workstation for collaborative labs.","Composite Skill Labs","Chemistry","Material","Composite","Type","Workstation","Availability","Featured",true,false
"Educational chairs with writing pad",4500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Lecture chairs with integrated writing pads.","Composite Skill Labs","Chemistry","Material","Plastic","Type","Seating","Availability","In Stock",false,false
"SM-LS",2500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Standard laboratory series stool for students.","Composite Skill Labs","Chemistry","Material","Basic","Type","Stool","Availability","In Stock",false,false
"Lab workstation for chemistry",55000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Professional grade laboratory workbench for researchers.","Composite Skill Labs","Chemistry","Material","Premium Metal","Type","Professional","Availability","In Stock",true,true
"SM CHEMISTRY LAB WORK BENCH",45500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Standardized chemistry workbench with storage.","Composite Skill Labs","Chemistry","Material","Standard","Type","Workbench","Availability","In Stock",false,false
"Teacher Lab Demonstration table",14500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Instructional table for teacher-led demonstrations.","Composite Skill Labs","Chemistry","Material","Enhanced","Type","Demo Table","Availability","Featured",true,false
"Physics Lab Furniture",52000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Specialized furniture for multidisciplinary labs.","Composite Skill Labs","Chemistry","Material","Heavy Duty","Type","Physics/Chem","Availability","In Stock",true,true
"Training Chair",3800,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Ergonomic training and lecture chair for labs.","Composite Skill Labs","Chemistry","Material","Comfort","Type","Training","Availability","In Stock",false,false
"LAB STOOL",5000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Standard high-quality laboratory stool.","Composite Skill Labs","Chemistry","Material","Durable","Type","Seating","Availability","In Stock",false,false
"Teacher demo table with sink",15500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Demo table with integrated sink unit for chem.","Composite Skill Labs","Chemistry","Material","Water-Resistant","Type","Sink Station","Availability","In Stock",false,false
"CHEMISTRY LAB WORKSTATION",80000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Heavy-duty dual user workstation for high-impact.","Composite Skill Labs","Chemistry","Material","Max Security","Type","Dual Station","Availability","Special",true,false
"CHEMISTRY LAB 8 SEATER WORK STATION",56000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Collaborative 8-seater lab table for groups.","Composite Skill Labs","Chemistry","Material","Massive","Type","Group Table","Availability","In Stock",false,false
"4-LEGGED STOOL SM MODEL 7984",1200,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Classic 4-legged stool design for labs.","Composite Skill Labs","Chemistry","Material","Basic","Type","Stool","Availability","In Stock",false,false
"LAB CENTRAL ISLAND BENCH FOR CHEMISTRY",64500,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Central island workbench with modular storage.","Composite Skill Labs","Chemistry","Material","Island","Type","Workbench","Availability","In Stock",true,false
"SM Lab workstation for chemistry",59999,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Premium SM series lab station for universities.","Composite Skill Labs","Chemistry","Material","Premium","Type","Station","Availability","In Stock",false,true
"Lab workstation with metal storage",72000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Workstation with integrated metal storage lockers.","Composite Skill Labs","Chemistry","Material","Metal Core","Type","Storage-Centric","Availability","In Stock",false,false
"Lab central island bench for chemistry",65000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Island bench for group experiments and testing.","Composite Skill Labs","Chemistry","Material","Standard","Type","Group Work","Availability","In Stock",false,false
"PASCAL lab workstation with metal frame",36000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Slim frame Pascal series workstation for labs.","Composite Skill Labs","Chemistry","Material","Pascal Metal","Type","Slim Station","Availability","In Stock",true,false
"Rectangle island",49000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Rectangular central lab island for large spaces.","Composite Skill Labs","Chemistry","Material","Standard","Type","Island","Availability","In Stock",false,false
"Rectangular chem lab",40000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Standard rectangular lab unit with durable top.","Composite Skill Labs","Chemistry","Material","Ceramic","Type","Basic Lab","Availability","In Stock",false,false
"CURIE workstation - CHEMISTRY with base",30000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Curie series chemical workstation for research.","Composite Skill Labs","Chemistry","Material","Curie Finish","Type","Research Station","Availability","In Stock",true,false
"Periphery lab",60000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Wall-aligned periphery laboratory units for storage.","Composite Skill Labs","Chemistry","Material","Wall-Side","Type","Periphery","Availability","In Stock",false,false
"Laboratory Work Bench",66000,"https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800","Professional laboratory workbench for testing.","Composite Skill Labs","Chemistry","Material","Pro Grade","Type","Heavy Workbench","Availability","In Stock",false,false
